reaction.dbId,inputMember.dbId,outputMember.dbId,catalystMember.dbId,positiveRegulationMember.dbId,negativeRegulationMember.dbId
9622831,9622846,9622846,9622846,9622846,9622846
9622831,9622846,9622846,9622846,9622846,9622850
9622831,9622846,9622846,9622846,9622850,9622846
9622831,9622846,9622846,9622846,9622850,9622850
9622831,9622846,9622846,9622850,9622846,9622846
9622831,9622846,9622846,9622850,9622846,9622850
9622831,9622846,9622846,9622850,9622850,9622846
9622831,9622846,9622846,9622850,9622850,9622850
9622831,9622846,9622850,9622846,9622846,9622846
9622831,9622846,9622850,9622846,9622846,9622850
9622831,9622846,9622850,9622846,9622850,9622846
9622831,9622846,9622850,9622846,9622850,9622850
9622831,9622846,9622850,9622850,9622846,9622846
9622831,9622846,9622850,9622850,9622846,9622850
9622831,9622846,9622850,9622850,9622850,9622846
9622831,9622846,9622850,9622850,9622850,9622850
9622831,9622850,9622846,9622846,9622846,9622846
9622831,9622850,9622846,9622846,9622846,9622850
9622831,9622850,9622846,9622846,9622850,9622846
9622831,9622850,9622846,9622846,9622850,9622850
9622831,9622850,9622846,9622850,9622846,9622846
9622831,9622850,9622846,9622850,9622846,9622850
9622831,9622850,9622846,9622850,9622850,9622846
9622831,9622850,9622846,9622850,9622850,9622850
9622831,9622850,9622850,9622846,9622846,9622846
9622831,9622850,9622850,9622846,9622846,9622850
9622831,9622850,9622850,9622846,9622850,9622846
9622831,9622850,9622850,9622846,9622850,9622850
9622831,9622850,9622850,9622850,9622846,9622846
9622831,9622850,9622850,9622850,9622846,9622850
9622831,9622850,9622850,9622850,9622850,9622846
9622831,9622850,9622850,9622850,9622850,9622850
9622851,9622847,9622847,9622847,9622847,9622847
9622851,9622847,9622847,9622847,9622847,9622835
9622851,9622847,9622847,9622847,9622835,9622847
9622851,9622847,9622847,9622847,9622835,9622835
9622851,9622847,9622847,9622835,9622847,9622847
9622851,9622847,9622847,9622835,9622847,9622835
9622851,9622847,9622847,9622835,9622835,9622847
9622851,9622847,9622847,9622835,9622835,9622835
9622851,9622847,9622835,9622847,9622847,9622847
9622851,9622847,9622835,9622847,9622847,9622835
9622851,9622847,9622835,9622847,9622835,9622847
9622851,9622847,9622835,9622847,9622835,9622835
9622851,9622847,9622835,9622835,9622847,9622847
9622851,9622847,9622835,9622835,9622847,9622835
9622851,9622847,9622835,9622835,9622835,9622847
9622851,9622847,9622835,9622835,9622835,9622835
9622851,9622835,9622847,9622847,9622847,9622847
9622851,9622835,9622847,9622847,9622847,9622835
9622851,9622835,9622847,9622847,9622835,9622847
9622851,9622835,9622847,9622847,9622835,9622835
9622851,9622835,9622847,9622835,9622847,9622847
9622851,9622835,9622847,9622835,9622847,9622835
9622851,9622835,9622847,9622835,9622835,9622847
9622851,9622835,9622847,9622835,9622835,9622835
9622851,9622835,9622835,9622847,9622847,9622847
9622851,9622835,9622835,9622847,9622847,9622835
9622851,9622835,9622835,9622847,9622835,9622847
9622851,9622835,9622835,9622847,9622835,9622835
9622851,9622835,9622835,9622835,9622847,9622847
9622851,9622835,9622835,9622835,9622847,9622835
