DatabaseObject
Event
Pathway
Trackable
Deletable
TopLevelPathway
ReactionLikeEvent
Reaction
PhysicalEntity
Complex
GenomeEncodedEntity
EntityWithAccessionedSequence
ReferenceEntity
ReferenceGeneProduct
ReferenceSequence
ReferenceDNASequence
Taxon
Species
DatabaseIdentifier
ReferenceDatabase
InstanceEdit
Person
Affiliation
Compartment
GO_CellularComponent
GO_Term
ModifiedResidue
TranslationalModification
AbstractModifiedResidue
ExternalOntology
PsiMod
LiteratureReference
Publication
Summation
ReviewStatus
ControlledVocabulary
SimpleEntity
ReferenceMolecule
EntitySet
DefinedSet
Depolymerisation
Polymer
GroupModifiedResidue
ReplacedResidue
GeneticallyModifiedResidue
Polymerisation
BlackBoxEvent
ReferenceIsoform
CatalystActivity
GO_MolecularFunction
CandidateSet
PositiveRegulation
Regulation
RegulationReference
ControlReference
EvidenceType
GO_BiologicalProcess
CatalystActivityReference
PositiveGeneExpressionRegulation
Figure
InterChainCrosslinkedResidue
CrosslinkedResidue
ReferenceGroup
NegativeRegulation
NegativePrecedingEvent
NegativePrecedingEventReason
NegativeGeneExpressionRegulation
OtherEntity
ReferenceRNASequence
ChemicalDrug
Drug
ReferenceTherapeutic
Disease
URL
Book
Requirement
ProteinDrug
DrugActionType
ReactionType
IntraChainCrosslinkedResidue
ModifiedNucleotide
TranscriptionalModification
CellType
FragmentInsertionModification
FragmentModification
FragmentDeletionModification
FailedReaction
EntityFunctionalStatus
FunctionalStatus
FunctionalStatusType
SequenceOntology
FragmentReplacedModification
NonsenseMutation
RNADrug
CellLineagePath
CellDevelopmentStep
Cell
MarkerReference
Anatomy
Deleted
MetaDatabaseObject
DeletedInstance
DeletedControlledVocabulary
Release
DBInfo
UpdateTracker
UndirectedInteraction
Interaction
