[],[190654],[],[],[],191072
[],[190703],[],[],[],190682
[],[195756],[],[],[],195733
[],[195790],[],[],[],168884
[],[203497],[],[],[],195734
[],[421483],[],[],[],421495
[],[1629779],[],[],[],1629787
[],[9981615],[],[],[],9981617
[],[9981630],[],[],[],9981632
[],[10101647],[],[],[],10101649
[],[10101662],[],[],[],10101664
[],[10216740],[],[],[],10216742
[],[10216755],[],[],[],10216757
[],[10325621],[],[],[],10325623
[],[10325636],[],[],[],10325638
[],[10441382],[],[],[],10441384
[],[10441397],[],[],[],10441399
[],[10549834],[],[],[],10549836
[],[10582655],[],[],[],10582657
[],[10614913],[],[],[],10614915
[],[10614926],[],[],[],10614928
[],[10693879],[],[],[],10693881
[],[10693894],[],[],[],10693896
[],[186539],[],[186656],[],186679
[],[186656],[],[186539],[],187197
[],[189595],[],[164072],[],164158
[],[189711],[],[186656],[],186550
[],[189716],[],[187289],[],186469
[],[189720],[],[187289],[],186617
[],[189732],[],[187289],[],186723
[],[189740],[],[349417],[],186609
[],[189742],[],[187289],[],186509
[],[189743],[],[349417],[],186524
[],[189758],[],[186539],[],187247
[],[189770],[],[349417],[],186511
[],[189771],[],[186656],[],187246
[],[189771],[],[186656],[],189119
[],[189782],[],[187289],[],186663
[],[190090],[],[190296],[],190093
[],[216457],[],[190296],[],190088
[],[981545],[],[1112525],[],6790038
[],[10018027],[],[10009508],[],10048867
[],[10136203],[],[10128881],[],10166426
[],[10247290],[],[10240855],[],10276747
[],[10358737],[],[10352017],[],10389558
[],[10475270],[],[10468165],[],10507087
[],[10655654],[],[10630848],[],10655656
[],[10723786],[],[10717641],[],10748812
[],[10840168],[],[10813939],[],10840170
[],[10924994],[],[10898811],[],10924996
[],[10982566],[],[10967265],[],10982568
[],[189706],[],[186656],[186513],186583
[],[421440],[],[421519],[421489],421508
[],[211356],[],"[187275,349417]",[],186510
[],[1250243],[],"[198701,877351]",[],3223236
[],[189711],[],"[187295,187318,187321]",[187293],186507
[],[189777],[],"[187295,187318,187325,349417]",[],186535
[174620],[],[],[],[],174731
[196145],[],[],[],[],190829
[264851],[],[],[],[],264834
[2152272],[],[],[],[],2172433
[2160934],[],[],[],[],2160931
[2169047],[],[],[],[],2169046
[2176443],[],[],[],[],2176452
[2176504],[],[],[],[],2176503
[2186733],[],[],[],[],2186767
[2186778],[],[],[],[],2186780
[2187371],[],[],[],[],2187382
[5246650],[],[],[],[],5246696
[5251547],[],[],[],[],5251559
[5251553],[],[],[],[],5251562
[5339712],[],[],[],[],5339713
[5687976],[],[],[],[],5687875
[5688020],[],[],[],[],5688025
[5688378],[],[],[],[],5688377
[9605335],[],[],[],[],9605313
[9606341],[],[],[],[],9606338
[9628705],[],[],[],[],2453818
[9628740],[],[],[],[],9628737
[9628768],[],[],[],[],9628758
[9628771],[],[],[],[],9628756
[9629152],[],[],[],[],9629166
[9629264],[],[],[],[],9629245
[9629915],[],[],[],[],9629917
[9630232],[],[],[],[],9630055
[9630235],[],[],[],[],9630053
[9646285],[],[],[],[],9646295
[9649908],[],[],[],[],6802834
[9650455],[],[],[],[],9650447
[9651282],[],[],[],[],9651280
[9656159],[],[],[],[],9656207
[9656301],[],[],[],[],9656250
[9657042],[],[],[],[],9657051
[9657134],[],[],[],[],9656252
[9660658],[],[],[],[],9660615
[9661970],[],[],[],[],9661980
[9665332],[],[],[],[],6802837
[9670192],[],[],[],[],9670189
[9670852],[],[],[],[],9670888
[9720037],[],[],[],[],9723906
[9763270],[],[],[],[],9709268
[9935275],[],[],[],[],9935284
[9978594],[],[],[],[],10025260
[9979572],[],[],[],[],9979664
[9981504],[],[],[],[],9981625
[10023633],[],[],[],[],10025230
[10024457],[],[],[],[],10024459
[10025208],[],[],[],[],10025210
[10025289],[],[],[],[],10025293
[10025350],[],[],[],[],10025352
[10025360],[],[],[],[],10025362
[10025469],[],[],[],[],10025476
[10098540],[],[],[],[],10143185
[10099585],[],[],[],[],10099685
[10101521],[],[],[],[],10101657
[10108642],[],[],[],[],10108644
[10141604],[],[],[],[],10143129
[10142433],[],[],[],[],10142435
[10143107],[],[],[],[],10143109
[10143214],[],[],[],[],10143218
[10143276],[],[],[],[],10143278
[10143286],[],[],[],[],10143288
[10143395],[],[],[],[],10143402
[10213983],[],[],[],[],10254239
[10214807],[],[],[],[],10214907
[10216595],[],[],[],[],10216750
[10252820],[],[],[],[],10254181
[10253570],[],[],[],[],10253572
[10254149],[],[],[],[],10254151
[10254268],[],[],[],[],10254272
[10254329],[],[],[],[],10254331
[10254339],[],[],[],[],10254341
[10254448],[],[],[],[],10254455
[10322764],[],[],[],[],10417088
[10323008],[],[],[],[],10365643
[10323636],[],[],[],[],10323736
[10325514],[],[],[],[],10325631
[10332665],[],[],[],[],10332667
[10364868],[],[],[],[],10364870
[10365491],[],[],[],[],10365493
[10365672],[],[],[],[],10365676
[10365730],[],[],[],[],10365732
[10365740],[],[],[],[],10365742
[10365859],[],[],[],[],10365866
[10438230],[],[],[],[],10482598
[10439402],[],[],[],[],10439502
[10441227],[],[],[],[],10441392
[10480793],[],[],[],[],10482542
[10481783],[],[],[],[],10481785
[10482510],[],[],[],[],10482512
[10482627],[],[],[],[],10482631
[10482688],[],[],[],[],10482690
[10482698],[],[],[],[],10482700
[10482807],[],[],[],[],10482814
[10548396],[],[],[],[],10570738
[10570280],[],[],[],[],10570282
[10570670],[],[],[],[],10570672
[10570742],[],[],[],[],10570744
[10570773],[],[],[],[],10570775
[10570777],[],[],[],[],10570779
[10570805],[],[],[],[],10570807
[10613245],[],[],[],[],10640103
[10639648],[],[],[],[],10639650
[10640132],[],[],[],[],10640134
[10691152],[],[],[],[],10729576
[10692143],[],[],[],[],10692178
[10693808],[],[],[],[],10693889
[10729044],[],[],[],[],10729046
[10729526],[],[],[],[],10729528
[10729584],[],[],[],[],10729588
[10729626],[],[],[],[],10729628
[10729636],[],[],[],[],10729638
[10729721],[],[],[],[],10729728
[10789595],[],[],[],[],10823687
[10791355],[],[],[],[],10791359
[10823243],[],[],[],[],10823663
[10823415],[],[],[],[],10823417
[10823659],[],[],[],[],10823661
[10823716],[],[],[],[],10823720
[10823783],[],[],[],[],10823785
[10823787],[],[],[],[],10823789
[10823836],[],[],[],[],10823843
[10879248],[],[],[],[],10879252
[10909103],[],[],[],[],10909105
[10909432],[],[],[],[],10909434
[10909460],[],[],[],[],10909462
[10909517],[],[],[],[],10909519
[10909548],[],[],[],[],10909552
[10909606],[],[],[],[],10909608
[10909631],[],[],[],[],10909638
[9978380],[],[],[],[10077278],10077280
[10098304],[],[],[],[10193342],10193344
[10213737],[],[],[],[10302380],10302382
[10437984],[],[],[],[10533846],10533848
[10548308],[],[],[],[10597791],10597793
[10614711],[],[],[],[10674194],10674196
[10691010],[],[],[],[10771742],10771744
[9795745],[],[],[],"[9715110,9760062]",9796054
[9839336],[],[],[],"[9839329,9839403]",9839401
[29452],[],[9631876],[],[],5610036
[29512],[],[3781931],[],[],3781832
[29732],[],[5660009],[],[],5660013
[30138],[],[5603369],[],[],5603275
[30537],[],[9638123],[],[],5609939
[31221],[],[5656450],[],[],5656438
[31633],[],[5623052],[],[],5623051
